metric_id,layer,metric,current_value,unit,threshold_id,yellow,red,status,frequency,formula_or_definition,source,judgement_note
M01,保费增长,签单保费同比,6.841119013929453,%,,,,GREEN,季/年,同时看行业差,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,监控指标，不单独设阈值
M02,保费增长,保费增速对行业差,8.184537684733694,pp,T07,-2,-5,GREEN,季/年,公司签单保费与行业原保费口径不同，仅作方向参照,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表；监管总局_保险业经营情况表_2025-03.xlsx，工作表《保险业经营数据（月度）》第7行（财产险）；监管总局_保险业经营情况表_2026-03.xls，工作表《保险业经营数据（月度）》第8行（财产险）,【假设：保费增速对行业差黄线-2pp、红线-5pp｜依据：落后2pp要求解释结构，落后5pp需要检查价格、渠道和风险筛选｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M03,保费增长,车险签单保费同比,-0.5035276680190548,%,T08,0,-5,YELLOW,季/年,需拆数量与车均保费,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,【假设：车险签单保费同比黄线0%、红线-5%｜依据：负增长先拆数量与车均保费；跌幅达到5%进入组合处置｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M04,保费增长,车均保费同比,-2.1299254526091604,%,T09,-2,-5,YELLOW,季/年,价格与车型/渠道结构混合,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,【假设：车均保费同比黄线-2%、红线-5%｜依据：2%可提示价格或车型结构下移，5%需要检查定价充足性｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M05,保费增长,隐含承保车辆数同比,1.6617927309359182,%,,,,GREEN,季/年,签单保费÷件均保费的代理,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,监控指标，不单独设阈值
M06,综合成本率,整体COR,94.9,%,T01,98,100,GREEN,季/半年/年,偿付能力季度累计口径,平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,【假设：整体COR黄线98%、红线100%｜依据：100%是承保盈亏线；98%保留2pp缓冲，便于在滑向亏损前动作｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M07,综合成本率,赔付率同比变化,0.5,pp,T05,0.5,1,YELLOW,月/季,正数表示恶化,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,【假设：赔付率或费用率同比恶化黄线0.5pp、红线1pp｜依据：0.5pp足以改变利润，1.0pp不应等待下一次年报再处理｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M08,综合成本率,费用率同比变化,-1.1999999999999993,pp,T05,0.5,1,GREEN,月/季,正数表示恶化,平安产险_偿付能力报告_2025Q1.pdf，PDF第18页，主要经营指标表；平安产险_偿付能力报告_2026Q1.pdf，PDF第18页，主要经营指标表,【假设：赔付率或费用率同比恶化黄线0.5pp、红线1pp｜依据：0.5pp足以改变利润，1.0pp不应等待下一次年报再处理｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M09,综合成本率,车险COR,95.8,%,T02,97,99,GREEN,季/年,2025年度,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表及COR公式,【假设：车险COR黄线97%、红线99%｜依据：车险是主体业务，需要给波动更大的非车业务留出承保缓冲｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M10,综合成本率,核心非车COR,100.824516,%,T03,99,100,RED,季/年,意健险+其他财产险，剔除保证险,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表及COR公式；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【假设：核心非车COR黄线99%、红线100%｜依据：非车跨过100%即承保亏损，99%作为提前一格的黄线｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M11,综合成本率,责任险COR,106.8,%,T04,103,105,RED,季/年,2025年度,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表及COR公式,【假设：责任险COR黄线103%、红线105%｜依据：2024为102.7%，2025为106.8%；103%提示持续亏损，105%要求立即处置｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M12,综合成本率,2025 COR对同业均值差,-0.7,pp,T06,0.5,1,GREEN,季/年,平安减同业均值，负数表示更低,中国平安_年报_2025.pdf，PDF第57页（报告印刷页码53），经营业绩/产险业务分析表；人保财险_年报_2025.pdf，PDF第14页（报告印刷页码12），承保业绩表；中国太保_年报_2025.pdf，PDF第44页（报告印刷页码27），产险业务经营指标,【假设：COR落后同业均值黄线0.5pp、红线1pp｜依据：同业只校正共同环境，不替代公司绝对盈亏线｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
M13,承保利润,保证险占整体改善贡献,73.129,%,T11,30,50,RED,季/年,2023→2025阶段性贡献,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表及COR公式,【假设：保证险占整体改善贡献黄线30%、红线50%｜依据：单一阶段性项目解释超过三成需单列，超过一半不得当作普遍能力｜影响：决定预警颜色与专题触发｜用户已于2026-08-16授权AI判断】
